Index       TIME             V(PCHG)          V(ENABLE)         V(OUT_T)          V(OUT_C)     
0        0.00000000e+00    7.00000000e-01    0.00000000e+00    6.58282886e-06    6.58282886e-06
1        2.50000000e-13    7.00000000e-01    0.00000000e+00    6.54674789e-06    6.53697564e-06
2        7.50000000e-13    7.00000000e-01    0.00000000e+00    6.51024734e-06    6.49057383e-06
3        1.75000000e-12    7.00000000e-01    0.00000000e+00    6.47247173e-06    6.44254661e-06
4        3.75000000e-12    7.00000000e-01    0.00000000e+00    6.47061316e-06    6.44017953e-06
5        7.75000000e-12    7.00000000e-01    0.00000000e+00    6.47168775e-06    6.44154680e-06
6        1.27500000e-11    7.00000000e-01    0.00000000e+00    6.47172723e-06    6.44159660e-06
7        1.77500000e-11    7.00000000e-01    0.00000000e+00    6.47243320e-06    6.44249531e-06
8        2.27500000e-11    7.00000000e-01    0.00000000e+00    6.47273206e-06    6.44287515e-06
9        2.77500000e-11    7.00000000e-01    0.00000000e+00    6.47327271e-06    6.44356350e-06
10       3.27500000e-11    7.00000000e-01    0.00000000e+00    6.47367660e-06    6.44407703e-06
11       3.77500000e-11    7.00000000e-01    0.00000000e+00    6.47415096e-06    6.44468101e-06
12       4.27500000e-11    7.00000000e-01    0.00000000e+00    6.47459637e-06    6.44524741e-06
13       4.77500000e-11    7.00000000e-01    0.00000000e+00    6.47504514e-06    6.44581881e-06
14       5.00000000e-11    7.00000000e-01    0.00000000e+00    6.47525897e-06    6.44609059e-06
15       5.05000000e-11    6.93000000e-01    0.00000000e+00   -1.35028159e-04   -1.35027538e-04
16       5.09500000e-11    6.86700000e-01    0.00000000e+00   -2.19716738e-04   -2.19696028e-04
17       5.18500000e-11    6.74100000e-01    0.00000000e+00   -3.13916096e-04   -3.13873570e-04
18       5.36500000e-11    6.48900000e-01    0.00000000e+00   -3.24835290e-04   -3.24789984e-04
19       5.72500000e-11    5.98500000e-01    0.00000000e+00   -3.35978619e-04   -3.35928216e-04
20       6.44500000e-11    4.97700000e-01    0.00000000e+00   -3.58373529e-04   -3.58314656e-04
21       7.36367945e-11    3.69084877e-01    0.00000000e+00   -2.71246505e-04   -2.71198955e-04
22       7.65327952e-11    3.28540867e-01    0.00000000e+00   -1.27527525e-04   -1.27505981e-04
23       7.94287959e-11    2.87996857e-01    0.00000000e+00    1.64556326e-04    1.64528723e-04
24       8.23247966e-11    2.47452848e-01    0.00000000e+00    6.31623976e-04    6.31543827e-04
25       8.52207973e-11    2.06908838e-01    0.00000000e+00    9.00040331e-04    9.00007678e-04
26       8.81167980e-11    1.66364828e-01    0.00000000e+00    6.42652800e-04    6.42749207e-04
27       9.10127987e-11    1.25820818e-01    0.00000000e+00    2.18632553e-04    2.18743120e-04
28       9.39087994e-11    8.52768085e-02    0.00000000e+00    5.48562408e-05    5.48896517e-05
29       9.97008008e-11    4.18878894e-03    0.00000000e+00    1.54214745e-05    1.54143169e-05
30       1.00000000e-10    0.00000000e+00    0.00000000e+00    1.56880237e-05    1.56822071e-05
31       1.00299199e-10    0.00000000e+00    0.00000000e+00    1.09558331e-04    1.09538223e-04
32       1.00897598e-10    0.00000000e+00    0.00000000e+00    1.88113993e-04    1.88090388e-04
33       1.01495996e-10    0.00000000e+00    0.00000000e+00    2.10017357e-04    2.10000180e-04
34       1.02692793e-10    0.00000000e+00    0.00000000e+00    1.07691301e-04    1.07699411e-04
35       1.05086387e-10    0.00000000e+00    0.00000000e+00   -1.56491909e-06   -1.55481685e-06
36       1.09873574e-10    0.00000000e+00    0.00000000e+00    1.11736421e-05    1.11697670e-05
37       1.14660761e-10    0.00000000e+00    0.00000000e+00    3.65947894e-06    3.66067846e-06
38       1.24235136e-10    0.00000000e+00    0.00000000e+00    9.03513239e-06    9.03447760e-06
39       1.43383886e-10    0.00000000e+00    0.00000000e+00    4.31656167e-06    4.31715492e-06
40       1.50000000e-10    0.00000000e+00    0.00000000e+00    8.43121905e-06    8.43074114e-06
41       1.50941074e-10    1.31750414e-02    0.00000000e+00    1.56247606e-04    1.56229884e-04
42       1.51761779e-10    2.46649010e-02    0.00000000e+00    1.64576025e-04    1.64564440e-04
43       1.52582483e-10    3.61547606e-02    0.00000000e+00    1.36050406e-04    1.36048791e-04
44       1.54223891e-10    5.91344798e-02    0.00000000e+00    4.49844872e-05    4.49938398e-05
45       1.57506708e-10    1.05093918e-01    0.00000000e+00    2.11139013e-05    2.11121812e-05
46       1.64072342e-10    1.97012795e-01    0.00000000e+00    6.66185880e-05    6.66088400e-05
47       1.70637977e-10    2.88931672e-01    0.00000000e+00    1.54525733e-04    1.54490575e-04
48       1.77203611e-10    3.80850548e-01    0.00000000e+00    3.13529322e-04    3.13439274e-04
49       1.83769245e-10    4.72769425e-01    0.00000000e+00    3.38437662e-04    3.38320562e-04
50       1.96900513e-10    6.56607179e-01    0.00000000e+00    3.34134128e-04    3.33984491e-04
51       2.00000000e-10    7.00000000e-01    0.00000000e+00    3.10495214e-04    3.10340476e-04
52       2.00678154e-10    7.00000000e-01    0.00000000e+00    1.57348154e-04    1.57220964e-04
53       2.01267643e-10    7.00000000e-01    0.00000000e+00    7.95720714e-05    7.94531509e-05
